## dpkg packages
7zip	25.01+dfsg-1~deb13u1
linux-sysctl-defaults	4.12.1
locales	2.41-12+rpt1+deb13u2
login	1:4.16.0-2+really2.41-5
login.defs	1:4.17.4-2
logrotate	3.22.0-1+b2
logsave	1.47.2-3+b10
lsb-release	12.1-1
lua5.1	5.1.5-11
luajit	2.1.0+openresty20250117-2
make	4.4.1-2
man-db	2.13.1-1
manpages	6.9.1-1
manpages-dev	6.9.1-1
mawk	1.3.4.20250131-1
media-types	13.0.0
mesa-libgallium:arm64	25.0.7-2+rpt4
mesa-vulkan-drivers:arm64	25.0.7-2+rpt4
mkvtoolnix	92.0-1
mount	2.41-5
nano	8.4-1
ncdu	1.22-1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
ncurses-term	6.5+20250216-2
net-tools	2.10-1.3
netbase	6.5
netcat-openbsd	1.229-1
netplan-generator	1.1.2-7+rpt1
netplan.io	1.1.2-7+rpt1
network-manager	1.52.1-1+rpt4
network-manager-l10n	1.52.1-1+rpt4
nftables	1.1.3-1
ntfs-3g	1:2022.10.3-5+deb13u1
openssh-client	1:10.0p1-7+deb13u2
openssh-server	1:10.0p1-7+deb13u2
openssh-sftp-server	1:10.0p1-7+deb13u2
openssl	3.5.5-1~deb13u2+rpt1
openssl-provider-legacy	3.5.5-1~deb13u2+rpt1
p7zip-full	16.02+transitional.1
pahole	1.30-1
parted	3.6-5
passwd	1:4.17.4-2
pastebinit	1.7.1-1+~rpt2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
pinentry-curses	1.3.1-2
pkg-config:arm64	1.8.1-4
pkgconf:arm64	1.8.1-4
pkgconf-bin	1.8.1-4
polkitd	126-2
ppp	2.5.2-1+1
procps	2:4.0.4-9
psmisc	23.7-2
publicsuffix	20250328.1952-0.1
python-apt-common	3.0.0
python-babel-localedata	2.17.0-1
python-is-python3	3.13.3-1
python3	3.13.5-1
python3-apt	3.0.0
python3-arrow	1.3.0-1.1
python3-attr	25.3.0-1
python3-babel	2.17.0-1
python3-bcrypt	4.2.0-2.1+b1
python3-blinker	1.9.0-1
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:arm64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-colorzero	2.0-4
python3-configobj	5.0.9-1
python3-cryptography	43.0.0-3+deb13u1
python3-dateutil	2.9.0-4
python3-debconf	1.5.91
python3-dev	3.13.5-1
python3-distro	1.9.0-1
python3-fqdn	1.5.1-2
python3-gpiozero	2.0.1-0+rpt1+trixie
python3-idna	3.10-1
python3-isoduration	20.11.0+git20211126.ae0bd61-2
python3-jinja2	3.1.6-1
python3-json-pointer	2.4-3
python3-jsonpatch	1.32-5
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-jwt	2.10.1-2+deb13u1
python3-lgpio	0.2.2-1~rpt1+trixie
python3-libgpiod	2.2.1-2+deb13u1
python3-linkify-it	2.0.3-1
python3-markdown-it	3.0.0-3
python3-markupsafe	2.1.5-1+b4
python3-mdurl	0.1.2-1
python3-minimal	3.13.5-1
python3-netplan	1.1.2-7+rpt1
python3-numpy	1:2.2.4+ds-1
python3-numpy-dev:arm64	1:2.2.4+ds-1
python3-oauthlib	3.2.2-3
python3-olefile	0.47-1
python3-packaging	25.0-1
python3-pil:arm64	11.1.0-5+deb13u2
python3-pip	25.1.1+dfsg-1+rpt1
python3-pip-whl	25.1.1+dfsg-1+rpt1
python3-pycryptodome	3.20.0+dfsg-3
python3-pygments	2.18.0+dfsg-2
